iter	Passed	Remaining
1030	10252	1680
1031	10262	1670
1032	10272	1660
1033	10282	1650
1034	10292	1640
1035	10303	1630
1036	10312	1621
1037	10322	1611
1038	10332	1601
1039	10343	1591
1040	10353	1581
1041	10362	1571
1042	10372	1561
1043	10381	1551
1044	10391	1541
1045	10401	1531
1046	10411	1521
1047	10422	1511
1048	10433	1501
1049	10444	1492
1050	10454	1482
1051	10462	1471
1052	10472	1461
1053	10483	1452
1054	10492	1442
1055	10503	1432
1056	10512	1422
1057	10520	1412
1058	10531	1402
1059	10541	1392
1060	10552	1382
1061	10563	1372
1062	10573	1362
1063	10582	1352
1064	10592	1342
1065	10600	1332
1066	10611	1322
1067	10621	1312
1068	10631	1302
1069	10641	1292
1070	10650	1282
1071	10660	1272
1072	10671	1263
1073	10679	1252
1074	10688	1242
1075	10698	1232
1076	10710	1223
1077	10720	1213
1078	10731	1203
1079	10741	1193
1080	10752	1183
1081	10760	1173
1082	10771	1163
1083	10782	1153
1084	10792	1143
1085	10802	1133
1086	10811	1123
1087	10821	1113
1088	10831	1104
1089	10842	1094
1090	10852	1084
1091	10863	1074
1092	10873	1064
1093	10884	1054
1094	10894	1044
1095	10904	1034
1096	10915	1024
1097	10926	1015
1098	10936	1005
1099	10947	995
1100	10956	985
1101	10966	975
1102	10976	965
1103	10988	955
1104	10998	945
1105	11008	935
1106	11019	925
1107	11029	915
1108	11038	905
1109	11047	895
1110	11058	885
1111	11068	875
1112	11078	865
1113	11086	855
1114	11096	845
1115	11105	835
1116	11116	826
1117	11126	816
1118	11136	806
1119	11145	796
1120	11156	786
1121	11166	776
1122	11177	766
1123	11186	756
1124	11197	746
1125	11207	736
1126	11217	726
1127	11227	716
1128	11236	706
1129	11246	696
1130	11255	686
1131	11265	676
1132	11276	666
1133	11285	656
1134	11296	646
1135	11306	636
1136	11315	627
1137	11327	617
1138	11337	607
1139	11349	597
1140	11358	587
1141	11367	577
1142	11376	567
1143	11385	557
1144	11395	547
1145	11405	537
1146	11415	527
1147	11427	517
1148	11438	507
1149	11449	497
1150	11461	487
1151	11471	477
1152	11482	468
1153	11493	458
1154	11503	448
1155	11514	438
1156	11524	428
1157	11534	418
1158	11543	408
1159	11553	398
1160	11562	388
1161	11572	378
1162	11581	368
1163	11591	358
1164	11601	348
1165	11610	338
1166	11619	328
1167	11629	318
1168	11639	308
1169	11649	298
1170	11659	288
1171	11669	278
1172	11680	268
1173	11690	258
1174	11700	248
1175	11710	238
1176	11719	229
1177	11729	219
1178	11739	209
1179	11750	199
1180	11761	189
1181	11772	179
1182	11783	169
1183	11793	159
1184	11803	149
1185	11812	139
1186	11822	129
1187	11833	119
1188	11844	109
1189	11853	99
1190	11864	89
1191	11874	79
1192	11884	69
1193	11895	59
1194	11904	49
1195	11913	39
1196	11924	29
1197	11935	19
1198	11946	9
1199	11955	0
